topic,caption
a person with unattractive facial features,FACE Y U NO Pretty
gamer,y u no member of project cars!!!
A person sending a text message and waiting for a response.,*sent a text to the girl i like* Y U No answer me right now?
a person who is running late,ch'ta y u coming in time
A person shaving,SKRILLEX Y U NO SHAVE THE OTHER SIDE TOO ?!
a person shopping with their mother,When you and your mum are in the clothing shop and she says: just 10 minutes
a person who is slow,Naeem y u so slow?!
a sportsman who excels in a competition,Kobe y u so clutch?
a person who is lonely,forever alone? Y U NO FIND GIRLFRIEND ?
a person who is being scolded,Y u so stupid!!! Learn!!!
a person asking for a call,carly rae jepsen Y U NO ASK ME TO CALL YOU DEFINITELY
a person comparing their mother to someone else's mother,mom Y U NO LOOK LIKE STACYS MOM?
a person looking for coffee,Why is there No coffee
a mythical place,Hogwarts Y U NOT REAL?
a person using a messaging app,Y U no take me off group text messages?
A person,Hey you Y u no follow Brooklyn Bruce
a person who didn't register for a trip on time,Mitsom y u no register for the trip fast.
a sportsman who lost a competition,Lebron Y U SO bad in the 4th
a person using a toilet,toilet paper y u no clean my ass
A relationship,SARA! Y U NO CHANGE RELATIONSHIP STATUS?!
a celebrity,emma stone... y u no produce sexy photoshoots ?!
a person asking for explicit content,woman y u no show me boobies?
a person watching TV,Y u so watching roseanne
a sportsman who lost a competition,Y U not listen to the experts LEBRON IS NOT CLUTCH
A person who didn't use protection,MRS BIEBER Y U NO USE CONDOM
a person watching bad TV shows,Lunara Y U NO Watch Vampurr Durries
a group of zombies,zombies y u no eat each other !
a musician,Jimmy eat world pandora y u so good?
a person dressing in a provocative costume,Halloween girls y u no slutty every day???
a person not listening to their instincts,Lisa Y u no listen to your instincts?
a person complaining about a product,sony why u no show us the actual ps4 console?
A person in a bad relationship,Girl complains about a shitty boyfriend. Goes out with him 9000 times! Y U NO LEARN!!!
a person having a one-sided conversation,dentist y u talk to me when i cant respond?
a person sharing their problems on social media,Y U FEEL NEED TO Tell FB about all your problems?
a person waiting for an app update,ANDROID Y U NO FINISH UPDATING??
a person with a weight issue,MY FAT Y U NO GO AWAY?!
a person seeking validation,online people y u no believe me?!
Celebrity,"TMZ, Y U No respect privacy"
a food,MEIJI MILK CHOCOLATE Y U SO TASTY!!!
a person with a poor sense of style,WINNie the pooh y u no wear a shirt that fits?
a person with a bold or intimidating personality,Odd Future Churro Gang Kill Them All Why U So Badass?!
people on a meme generator,people on Meme geNERATOR Y u no funny?
a person eagerly waiting for a holiday,winter break y u no come sooner?
a person who is annoyed by a teacher,Teachers Y U No Shut up ?
a person with a slow internet connection,Game of Thrones y u no download faster?
a person being bullied for their weight,Y U No Wear Clothes Fatty?
A person with poor grammar,"y u no understand that to, too & two are not the same thing"
a gamer,Diablo 3 fans y u no thankful!?
A person playing Pokémon,Ash Why no u cath'em all
a person struggling with erectile dysfunction,has 3 drinks y u no able to get boner?
a person who is considered cute,tyler y u so cute
a person who forgot to flush the toilet,SHIT IN TOILET Y u no flush?
a recruiter who failed to deliver on a promise,Marine Corps recruiter Why you no keep promise?
a person using a bad product,PIONEER TRAIL Y U NO BLOW UP!
a person expecting good things,LIFE WHY U NO GIVE LEMONS?
a person using a social media platform,facebook y u so distracting?
a person asking a rhetorical question about a chicken's inability to fly,Chickens Y u no fly
a person who is sad about someone leaving,misfits y u no bring back nathan!
a person on a bus,PEOPLE ON BUS Y U NO USE HEADPHONES
a person using Facebook,Girls I stalk Y U NO USE NEW FACEBOOK TIMELINE
a person making a derogatory comment about women,Sexy Girls Y U SO Dumb
a language learner,French Y u so difficult?
a person attempting a dangerous stunt,nataly why you no walk on fire
a person who looks similar to someone else,Andrew Lee Y U SO LOOK ALIKE!!
A person waiting in line for a bathroom,when you need to go to the bathroom.. but someone is using it before you and you have to wait
a person expressing frustration,CAKE WHY U NO TRUTH??
Food,PEOPLE Y U TAKE PICTURES OF THE FOOD YOU EAT?
a sport,AMERICAN FOOTBALL Y U NO CALLED HANDEGG?
a person with a bad mood,When somebody has a bad mood Y U So Mean?
a programmer,excel vba y u no work properly
a person waiting impatiently,30TH MAY Y U NO COME FASTER?!
a person in a frustrating situation,LADY GAGA Y U NO JUST TURN OFF TELEPHONE?!
a person who is overweight,Why u so Fawt!
laptop,LAPTOP Y U NO SET IN LAP WITHOUT GETTING TOO HOT
A person,Face Y U NO FLAWLESS AND BEAUTIFUL
a person who smells bad,Mexico Y U So stinky?
a person engaging in a weird behavior,Why yu no eat yellow snow!? It might be beer!
a person who is bad at spelling,Fellow meme generators y u no spell right?!
a person trying to lose weight,BEn and jerry's y u no let me lose weight
a person who is frustrated with a product or service,GOOGLE Y U NO LET ME FINISH
a person hanging,"Crew, Y u no hang any more?"
a country with a lack of a natural resource,CANADA WHy you no have grass?
a person criticizing a company's labor practices,apple (worth 480 billion) y u no pay chinese man more than $1 a day?!
a meme creator,9gag y u no let me post more than one thing a day
a musician,Dream Theater y u no make short songs
A person with low confidence or self-esteem,Shunda Why u no have swag
A person in a relationship,IF U CAN'T LIVE WITHOUT ME Y U NO DEAD YET?
a person having a bad habit,after sex pee y u no go straight
a person with a small joke,meme picture y u no big enough for my joke?
a person who is angry,when you get trolled I WILL FIND YOU! I WILL KILL YOU
a person who didn't receive a response,Hey You Y u no text back
a country with uneducated people,Amerca... Y U So IGNORANT?!?
a person inviting someone to a party,i have milkshake y u no come yard
a person asking for a day off from work,GF Why u no off work?
a person making fun of someone's physical appearance,Andrea Y ur ears so fucking tiny?
a person using a faulty laptop,overheated laptop y u no turn on fan?
a woman with a complaint,GIRLS y u no use pockets instead of boobs?!
a person criticizing a game,mw3 y u no different than other modern warfares?
A person trying to make glow sticks work properly,Glow Sticks Y U NO Glow Brighter
Musician,Daft punk y u no release another album
a game developer,SONIC TEAM Y U NO MAKE GOOD GAMES ANY MORE?
A person who is not good at running,alL THE OTHER KIDS WITH PUMPED UP KICKS Y U NO RUN?
a person not wearing clothes,Miley Cyrus Y U NO PUT clothes ON
a person giving a warning,CJ Y U NO LIKE MY [WARNING]?
a person making a funny comment,Jonathan Y U No lawl
a person asking for a date,Girls from school Y u no date me
a student,Bobby why you no barrett student???
a student,Why teacher gimme homework ? Teacher siaoliao!
a country with strict gun laws,"UNITED KINGDOM OF GREAT BRITAIN Y U NO LET YOUR COPS CARRY SHOTGUNS, FOR FUCK SAKE?!?"
a person complaining about others,Newgrounds Users Y U SO WHINEY?
a person looking for a pet,Uh oh Konys missing!
A person staying indoors.,SHABBIRV Y U NO GO OUTSIDE FOR ONCE?
a student struggling with studying,studying y u no work?
gamer playing at the computer,Gamers Y U No let girls play online?
a person being cheated on,Phill.H : PK Y U FUK WITH ME?
a person taking a selfie,People taking selfies y u no turn off the flash
a person with little money,CREDIT CARD Y U NO HAVE MONIES
a person complaining about fuel prices,gas prices y u no go down as fast as you go up?
a person who wants to play a game at work,work y u no let me play skyrim?
a student,Homework y u give so much now?
a person with a malfunctioning bodily function,excretory system why you make me run to bathroom then do nothing!!!
a programmer with slow computer,MATLAB Y U NO RUN FASTER?
a tennis player,Mardy Fish Y U No Play
a person with a scar,harry potter y u no use magic to erase scar?
a person with a broken wallet,Norf Kowea wocket y u no work?
a person using a bad internet browser,Why you keep saying that No ones want to heat you
a person using an android,Y U NO HAVE IPHONE ?
a musician,Modern music y u no stop aspiring to JAGGER?
A person seeking tech support,apple y u no hire american tech support?
a person making memes,philosoraptor y u no make anti-school memes?!
a person plucking their own hair,Lady in car behind me Y U No pluck chin hairs at home?
a student,Students Y U NO learn deadlines
a person telling a joke,Honey badger y u no funny without gay narrator?!
a student,Teacher Y u give better grade to person who copy me
a student,Timed Exam Y U no let me do my best
A person not liking good music, Y U No Like Good Music
a person using a bad internet browser,Camow Fallllawww me
a computer user,LIFE Y U NO GIVE ME RESTART BUTTON
a person who is addicted to a website,Pinterest y u so addicting?
A person using a smartphone,meme makers y u no make area between my hands blue too
a person being bitten by an animal,cat y u bite me after you ask me to pet tummy?
a person complaining about a bad product,Meme geNerator Y U no put philoraptor in first
a person who is lonely,Y U NO Have real friends!?
a person using magic,Wolfy Y u no use magic to heal self?
a person studying,degree why u no hurry up
a person with a bad hairstyle,girl with pout y u like to look like duck
time,time Y U NO slow down
a person at school,classmates y u no buy chewing gum?!?
an employee at work,BOSS IT's 5:15 Y U NO LEAVE ALREADY?
person,person before me y u no flush???
a person who is considered attractive,Randy Orton Y U SO SEXY?
a person seeking attention,Aphex Y u no come to Daddy ?
a person wasting time,JERSEY SHORE Y U WASTE TIME
A person using a bad internet browser,ando forever at home
a person packing,Y U not want help With packing up
A space topic!,KEPLER 22B Y U 600 light years away
a person asking for a minimum deposit,Gilly market Why you ask for 10$ minimum Deposit
a person using a calculator,TI-84 Y U NO SOLVE MATRICES WITH IMAGINARY NUMBERS
a person,WHY U BE SO CUTE?!?
a business,dunkin donuts y u no in more states
a person who lost a lottery,Lottery y u no let me win jackpot?
A person being confused or frustrated.,What The fuck are you talking about
a person who wants a nickname,THAILAND PEOPLE Y U DONT HAVE A NICKNAME !!!
a person making fun of someone,FOCUS Fuck off cuz ur stupid
Musician,DUA y u have so many hafiz
a person feeling unfairly treated,Life Y U No fair??
a person with an allergy,Benita y u allergic to h20
a person waiting for a response,Johnipoo Lindsey y U no text me?
a person who can't keep up with someone's activity on Facebook,Y U SO FB ACTIVE I CANT KEEP UP
A person using a bad internet browser,one does not simply use correct meme
a person playing with emotions,Scrubs Y U Play with emotions
a person eating unhealthy food,irrationally priced unhealthy food y u so good?
Dance,cali swag district y u no Teach Me How to Dougie?
a person having a different opinion,The Moment Joana Believes Girls Have a Harder Life.. Y U NO REALISE
a person asking why their friends aren't jamming with them,Marceline Finn and jake Y u no jam with me?!
A person playing a game.,Y U So good at foosball
a person wearing mesh shorts,mesh shorts y u no have boner protection?
a person with sleep problems,brain y u so tired all day but no want sleep at night
a teacher,CLASS Y U NO ASK QUESTIONS?
a person being left out of a fight,Drunk people fighting y u no include me?
A person in a movie.,black man y u no stay alive in movies
a person struggling with a heavy object,Remote Y u so heavy?
"I think there may be a mistake here!

The instruction is to detect the topic described in a meme caption, but the input doesn't provide a meme","see ""objects"" with a microscope"
a person who is not listening,JEMMA Y U NO LISTEN TO US?
a person laying on a bed,BED Y U ONLY COMFY IN THE MORNING
a person who is struggling to complete their homework,Homework Y U No complete yourself
a person making a joke about not praying to a deity,Y u no pray to C'thulu today!?
"A humorous task!

Based on the pattern of the input captions, I'll try to detect the topic:

**Topic:** a person who doesn't want",02957079568952984758957849333578490567894759 you! y u no read that number?
a person wearing short pants,Y U always Wear shorts!
a person searching for something,christmas y u no here??
a person writing a difficult presentation,Presentation Y u so hard to write!!!
a teacher,teachers y u no learn how to use media?
a person complaining about incorrect use of memes,PEOPLE COMPLAINING ABOUT INCORRECT USE OF MEMES Y U NO SHUT UP?
a person preparing for a fight,Y U Bring knife to gunfight?
a person struggling to communicate,Asian lady at the school lunch line Y U no let me under stand what you are saying
a person complaining about social media,"bORING PEOPLE ON FACEBOOK, Y U NO SHUT UP WITH YOUR LAME STORIES AND GTFO?"
a news anchor,Watching news Y U REPEAT
a person finding a subject uninteresting,Biology 1020 why you boring?!
a person dealing with unevenly cut bread,bread y u no have even amount of slices!?
a person laying on a bed,Bed Why U SO COMFORTABLE IN MORNING AND NOT IN NIGHT?
A product packaging,"PRINGLES, Y U NO MAKE WIDER CANS"
Life,that moment when u realize what life means
a person using a fantasy game or a fantasy world,FUS RO DAH Y U NO WORK IN REAL LIFE?!
a person using a bad internet browser,internet y u no give me the answer i need
a person expecting explicit content,I LOVE YOU Y U NO SEND ME NUDES
a person who dislikes ads with sound,memegenerator y u no make ads without sound?
a person trying to lure boys to their yard,milkshake Why y u no make boys come to my yard
a person who lost money,money y U GONE AFTER WEEKEND?
a person using a device that doesn't work,IC UCARD SCANNER Y U NO WORK!?
a person who lost a competition,UT 3 result Why you no come out!!
a person using a bad internet browser,Job y ur internet so shit?
a person using a slow software,Median filter y u so slow
a person complaining about a product,Life y u no have instructions
a person using a media service,Netflix Y u no have list of all movies?
a person who finds something boring,Facebook y u so boring?!
a person who is upset about hate speech,westboro baptist church y u no stop hating gays?
a state in crisis,Rest of united states y u no help Louisiana?!
a person asking a question,Y U NO TALK TO TOADDER
a person in a workplace,Ms jishi Y u not let us go to the lab!!
a person making a derogatory comment,Jason Y U SO UGLY?!
a parent yelling at someone,"Mom, they can hear you Y U YELL?!?"
a music listener,Pandora y u no play artist in their station!?
a gamer playing at the computer,ENEMY CORPSE Y U NO LEAVE ME A DECENT GUN?
a person complaining about misquotes,Why you Misquote... Everything!
sportsman,lionel messi y u no let them win
an exam-taker,exam Y u no ask anything i know?
a person who is overweight and cosplaying,Fat people Y u no stop cosplaying !
a person making a joke,Mexicans no take ur job if U work instead of making meme
a gamer,NOOBs Y U NO STFU AND GET LIFE
a celebrity,Britney y u no have ugly photographs?
a person seeking guidance,can't find it ! teach me o wise one !
a person having trouble with urination,pee y u no come out in one stream?
a person trying to open a stubborn window,NPHS windows y u no open
a person using a bad internet browser,Internet Explorer Y U no be good?
a sportsman who lost a competition,LeBron james y u no win championship?
a person laying on a bad,bed is comfy in the morning why u no comfy at night?
a researcher,OPeratins research Y U So difficult?!
a chubby man,miserableatbest y u so fat?
a woman in warm clothes,CALIFORNIA Y U SO COLD I GOTTA VACATION IN LAS VEGAS!!!
a gamer playing at the computer,online game y u no lag for them?
a teenager using Iphone,iPhone Y U no SIRI!
a group of wild animals,Y U HAVE CLAW? WE DNT LYK THE CLAW
a hairdresser at work,Hair Trimmer y u no trim while charging?
a person waiting for a job offer,CHRIS  Y U NO HAVE DAY PLACE YET?
a computer program,excel  vba y u no work properly
a person wanting to buy a ticket.,Y U NO  Buy Ticket.?!
a man using a women's restroom,Idris sir  Y u use the girl's toilet
a game,You ask to play Draw Something  Y U NO PLAY BACK!!!
a coworker not shutting up,stupid co-worker  y u no shut up
a bacterium,Sense.coli  y u not glow?
a person waiting for a response to an email,I send email  Y U NO email back
a person praising an online marketplace,eBay  y u so freaking awesome??
a woman wanting to know what she wants,Women  y u no know what you wANT
a celebrity criticizing someone's behavior,Justin beiber  Y u so girly
a person struggling financially,Hobos  Y u no earn money?
"### Response:
a person not sleeping",it's 5 o'clock in the morning  y u no sleeping
a fan complaining about a TV show,DBZ  Y U NO POWER UP IN ONE EPISODE!?
a person with a stuffy nose,Stuffy nose  y u switch nostrils
a movie reference,Silence of The Lambs  Y U no put the lotion on the skin
a food packaging complaint,"PRINGLES,  Y U NO MAKE WIDER CANS"
a food that doesn't taste like apple,aPPLE COMPUTER  Y U NO TASTE LIKE APPLE?
music industry,Music Industry  Y U NO GOOD ANYMORE!?!
a shipping company not shipping quickly,UPS  Y U NO ShiP faster??
a parking issue,Idiots  Y U NO PARK PROPERLY?!
a person distracted by a cat,A.d.d  y u no- oh look a cat!
a music performance,Avicii Playing Levels.  Y U Dont sing DUDUDUUDUDUDUDUUDUDUDUDUDUDUDUDUUDUDUDU
a person asking for beer,FRIDGE!  Y U NO HAVE BEER?!
a car going fast,Ford  Why you no go fast?!
a girl playing with a cat,Y U NO THINK ITS CUTE THAT I DO  <emp>
a candy preference,Starburst  Y U no always cherry
a girl demanding a phone,Y U NO  GIMME UR FON
a guy looking for love online,Forever alone guy  y u no use e-harmony?!
a person making a comment about someone's appearance,why you so  ugly
a school having a long time in halls like a TV show,School  Y u no have hour long time in halls like Tv show?
a person fishing for likes,Y U ALWAYS  FISHING FOR LIKES!
a computer problem,steam browser  y u no work properly?
a person watching a pot of water,pot of water  y u no boil when i watch u
a desire for candy,CANDY  Y U NO LAST FOREVER?
a vending machine,Vending Machine  Y U No give me snack i just paid for
a husband not washing well,Husband  y u no wash ass very good?
a parent watching TV,mom  y u talk while im watching tv!?
a therapist,THERAPY  WHY YOU NO GOOD?
a music concert,Bonnie tyler  y u no turn around bright eyes?
a gamer,Cod MW3  Y U No longer
a teacher wanting a vacation,Teacher  Y u no take vacation?!
a person proofreading a meme,People  y u no proofread meme before posting?!
a boring subject,Chemistry  y u so boring?!
a food related topic,CHEETOS  Y U MAKE ME WASH HANDS
a person working too much,Sean  Y u so stuPid And work too much?
a football game,Niners!  Y u no beat giants?
a person not revealing their name,WEIRDO WITH 5 COLOURS IN HAIR  Y U NO TELL MCFLY YOUR NAME?
a person feeling unloved,no text back in 30 minutes  y u no love me?
a man wanting flowers for someone,Bruno Mars  Y u no bought her flowers
a discussion about online commenting system,Youtube  y u no make nested comments?
a character in a fantasy world,peach  y u no in this castle?
a person wanting to run,alL THE OTHER KIDS WITH PUMPED UP KICKS  Y U NO RUN?
a social media platform,Facebook  Y U NO STAY SAME?
a person feeling abandoned,PEOPLE  Y U NO USE ME ANYMORE??
a student arguing with a teacher,when the teacher tries to prove  you wrong when you know your right
a gamer complaining about compatibility,ps2 games  Y U NO play on ps3 also?
a lord wanting more content before watching a video,LORD  Y U NO PUT MORE BEFORE VIDEO ?
a parent being delayed,le parents about to leave  y u no hurry so i can fap
a person with a skin tone issue,Y U SO WHITE!  ME NO GUSTA
a meme about memes,Go call more!  why u so meme
a computer being overloaded,9 gag  Y u Overload So much!
a person complaining about work,Mondays  WHY you no take holiday?!
a man in frustration,WORLD  Y U NO END?
a person frustrated with YouTube updates,"Every time i get back on youtube, it keeps changing!  Stop changing Youtube!!!"
a reality TV show,JERSEY SHORE CAST  Y U NO DIE IN A CAR ACCIDENT?
a girl making duck faces,girls  y u no stop making duck faces?!
a person criticizing others,Average  Y U point things out
a person not wearing headphones on a bus,PEOPLE ON BUS  Y U NO USE HEADPHONES
a man with a camera,when you tell him to stop  but he goes in farther
a person wanting to go back to a big meal,Suzy899  Y U No go back to Big Meal?!
a meme about emoticons,FACEBOOK CHAT  Y U NO MEME EMOTICON
a person insulting someone,picnick in Pisa on my honey moon!  y u fucking retarded!
a comedian,mind  y u no come up with good jokes
a film maker,ThatFilmMakingGuy  Y U So Awesome?!
a wrestler,"Cena,  How come u only no only 4 moves?"
a computer program,Median filter  y u so slow
a person being bullied,Because Axel!  Y u in the corner?!
a girl wanting longer hair,femshep  y u no have longer hair
a character in a movie or TV show,Why you no read this in normal voice  <emp>
a person complaining about clutter on a website,Liberal Douche Garofalo  y u no stop cluttering up the main page
a person feeling cold in winter,GLOBAL WARMING  Y U NO WARM ME IN WINTER?!
a person wanting time from someone,WHY U NO  MAKE TIME FO THAT!
a person needing medical attention,Dr.Dre  Y U Need a doctor
a slow internet,wifi  y u so slow?
a woman being insulted,Why you so rude?!  Bitch...
a government's internet censorship policies,Congress  Y U No stop making crappy internet censorship bills?
a person playing a video game,jake  why you waste time playing rs??
a person making fun of their own appearance,y u no like me?  because my face fat?
a celebrity being famous without talent,the kardashians  y u no have talent but still famous
a complaint about Google Plus,Youtube!!!111  Y u no get rid of google plus???
Family,Family  y u no Tell me you got Good cereal?!
a food that tastes better when cooked by mom,food  y u taste better when mom cooks you?
a social media platform,facebook y u no  get punch or slap only poke
a person's changing taste in coffee,Mego  Y U No like Starbucks tuesday anymore
a company's logo change,GOOGLE  Y U NO CHANGE YOUR LOGO FOR EASTER
a protest about unemployment,Occupy wall st.  y u no get jobs!!!
a music artist,Daft punk  y u no release another album
a person not showering,Roxy  y u no shower
a joke about language,"internet people  y u call spelling ""Grammar"""
a pet complaining about its behavior,"Y u so obsessed with puppys?  All they do is poop, eat and SUCK UP"
a country objecting to a food,NORWAY  Y U NO EAT MARGARINE?
a child being cute,WHY U  BE SO CUTE?!?
a video game with a disappointing ending,Mass effect 3  Yu no good ending?
a person being crazy,Heather  y u so crazy?
a person complaining about a boring life,life  why you so boring
a person dealing with hair loss,BALD?!?  Y ME HAVE NO HAIR!?!
a baker,Peeta Mellark  Why do know make me bread
a TV show with laugh tracks,70's cartoons  y u always have laugh tracks?!!
a cute dog,ZOKO  Y I So CUTE
a request for better search results,florida  why you no give clear results?
a celebrity being crazy,Metta world peace  Y u so crazy
a game,Call of duty  Y U No make WWII games anymore
A teenager being frustrated with their lack of understanding of a meme.,not sure if i'm retarded  or just using the wrong meme
a student not completing homework,HOMEWORK  Y U NO DONE!!!
a big foot,Y U NO  PoiNt TOES!?
a person describing their red hair,EMMA BONHAM  Y U SO GINGER?
a student feeling frustrated with exams,FINALS  Y U NO END?!
a baby wanting a fire,baby  y u no light my fire?
a music streaming service,Pandora  y u no play artist in their station!?
a person waiting for someone to leave,y u no  know when ure leaving
a person frustrated with their iPhone,ipHone  y u put send where i think backspace should be?
a girl being insulted,U so rude!  Whore!
a person being mean,Chris  y u so mean?
a teenager telling someone to keep their shirt on,Teenage girls  y u no keep boobs in shirt?
a person being insulted,Y u so fucking  Stupid!!!
a person being in love,Jackson  Why u know love girlfriend
a gamer wanting armor,hey Skyrim warrior  y u no buy knee armour?!?
a person not coloring,TEMPLATE  Y U NO COLOR BETWEEN MY ARMS?
a group of girls not wearing clothes,freshman Girls  y u no wear clothes?
Justin Timberlake,y U bringing sexy back  IF YU NOT KNOW HOW TO ACT
a person preferring a different coffee shop,Starbucks customers  Y u no go to tim hortons for double double
a person waiting for someone,Ben Gallagher  Y U NO here now?
a person wanting comments on social media,I Write on your wall  y u No comment to me anymore?
a girl watching children's films,childrens films  y u no tell truth about life ??
a software developer,DEVELOPER  Y U NO TEST BEFORE COMMIT?
a woman in a toxic relationship,She going back to him  for the 2569th time
a lack of office supplies,bathrooms by office  y u no have paper towels?
a government not listening to the public,government !!!  y u no listen to the public?
a bad smell,HInd .  y u so stinky
a meme about reposts,Y people ruin ifunny with reposts!  <emp>
a magic school,Hogwarts  Y U no just give kids lists of magic words to memorise?
a person frustrated about not receiving a call,You call me. I call you back  Y U No Answer??
a person not finishing their pizza,LOUIE  Y U NO FINISH YOUR SLICE OF PIZZA?
a girl asking a technical question,"Girl,  Y U SO technical?"
a man not cleaning the toilet seat after using it,n wen u pee with toilet seat on  y u no clean pee on toilet seat after using
a computer configuration,LINUX  Y U NO TURN NUMLOCK LED ON AT STARTUP??
a guy laughing,Jonathan  Y U No lawl
a request for a napkin,subway  y u only give me 1 napkin with footlong meatball sub
a website for generating memes,memegenerator.net  y u no already see that i typed my meme in english?
a football player,Ochocinco  y u no speak spanish right???
a girl missing her friend,y u sleep so much  miss my phone calls Bianca!
a toilet in struggle,pee  y u no come out in one stream?
a person complaining about others on Facebook,"bORING PEOPLE ON FACEBOOK,  Y U NO SHUT UP WITH YOUR LAME STORIES AND GTFO?"
a teacher not putting up notes on the blackboard,Mr Lecturer  y u no put up on blackboard for a week!
a person asking for credit card information,Give me  your credit card
a girl watching pony cartoon,Sister  Why y u watch my little pony
an artist drawing comics,Nathan Fillion  Why u no come to phx Comic-Con
a man with a camera,Dear pornregisseur  Stop Film dicks when i am coming
a man sitting on a toilet in tension,trying to go to the bathroom  while constipated
a magic school,Hogwarts  Y U no just give kids lists of magic words to memorise?
a person frustrated about not receiving a call,You call me. I call you back  Y U No Answer??
a person not finishing their pizza,LOUIE  Y U NO FINISH YOUR SLICE OF PIZZA?
a girl being technical,"Girl,  Y U SO technical?"
a man using the toilet,n wen u pee with toilet seat on  y u no clean pee on toilet seat after using
a computer configuration,LINUX  Y U NO TURN NUMLOCK LED ON AT STARTUP??
a request for a napkin,subway  y u only give me 1 napkin with footlong meatball sub
a website for generating memes,memegenerator.net  y u no already see that i typed my meme in english?
a football player,Ochocinco  y u no speak spanish right???
a person missing phone calls,y u sleep so much  miss my phone calls Bianca!
a person struggling with urination,pee  y u no come out in one stream?
a person complaining about others on Facebook,"bORING PEOPLE ON FACEBOOK,  Y U NO SHUT UP WITH YOUR LAME STORIES AND GTFO?"
a representation of Asians in media,asians  Y U NO HAVE GINGER ASIANS?
a teacher not putting up notes on the blackboard,Mr Lecturer  y u no put up on blackboard for a week!
a person asking for credit card information,Give me  your credit card
a person sleeping in late,BED  Why u only comfy in morning?
a soccer player,Balotelli  y Always u
a person being lazy,thibault  y u so lazy?
a teenager being annoyed by a parent,y lex y???  y do u hafta show ss this app!!!
a person's underwear,Underwear  Y u no stay out of crack
a sandwich being split,Subway customers  y u no split five dollar FOOTLONGS?
a person's appearance,Face  Y U NO FLAWLESS AND BEAUTIFUL
a person criticizing a phone brand,Saachi  Why you no more on blackberry!
a woman being praised for her fitness,Y U SO  Fit LADY
a foot problem,You are so  Nubby
